,species,k,lag,smoother,log_likelihood,num_train_states,num_test_states
386,mul,1,10,1.0,-0.12287334024444549,10,10
387,mul,1,20,1.0,-0.12287716942065406,10,10
388,mul,1,30,1.0,-0.12264712318894873,10,10
389,mul,1,40,1.0,-0.12245286810401808,10,10
390,mul,1,50,1.0,-0.12244155578324159,10,10
391,mul,1,60,1.0,-0.12222475524061253,10,10
392,mul,1,70,1.0,-0.12208079007830899,10,10
393,mul,1,80,1.0,-0.12212555375237304,10,10
394,mul,1,90,1.0,-0.12211897032509857,10,10
395,mul,1,100,1.0,-0.1221232695912953,10,10
396,mul,2,1,0.001,-0.122492004669026,100,59
397,mul,2,10,0.001,-0.11944792973000613,100,68
398,mul,2,20,0.001,-0.1185451923530259,100,82
399,mul,2,30,0.001,-0.11781199090445382,100,88
400,mul,2,40,0.001,-0.11804962095080718,100,91
401,mul,2,50,0.001,-0.11812997565398664,100,95
402,mul,2,60,0.001,-0.11878154490324673,100,95
403,mul,2,70,0.001,-0.11931487712369201,100,100
404,mul,2,80,0.001,-0.11842708077480762,100,100
405,mul,2,90,0.001,-0.11862147369729469,100,99
406,mul,2,100,0.001,-0.11872158272783344,100,100
407,mul,2,1,0.01,-0.12232642842687845,100,59
408,mul,2,10,0.01,-0.11927897931080896,100,68
409,mul,2,20,0.01,-0.11837510180698547,100,82
410,mul,2,30,0.01,-0.11761558764721333,100,88
411,mul,2,40,0.01,-0.11777219723505444,100,91
412,mul,2,50,0.01,-0.1179249487974984,100,95
413,mul,2,60,0.01,-0.11851728327063725,100,95
414,mul,2,70,0.01,-0.11896285815489933,100,100
415,mul,2,80,0.01,-0.11807138119665382,100,100
416,mul,2,90,0.01,-0.1182713176053986,100,99
417,mul,2,100,0.01,-0.11833551222252198,100,100
418,mul,2,1,0.1,-0.12221275877945256,100,59
419,mul,2,10,0.1,-0.11915756127714905,100,68
420,mul,2,20,0.1,-0.11826832955056087,100,82
421,mul,2,30,0.1,-0.11750424694548658,100,88
422,mul,2,40,0.1,-0.11759084020520003,100,91
423,mul,2,50,0.1,-0.11779566426971949,100,95
424,mul,2,60,0.1,-0.11831997161383222,100,95
425,mul,2,70,0.1,-0.11867997463751831,100,100
426,mul,2,80,0.1,-0.1178104122268186,100,100
427,mul,2,90,0.1,-0.1180011077877507,100,99
428,mul,2,100,0.1,-0.11803209050584021,100,100
429,mul,2,1,1.0,-0.12254213446437978,100,59
430,mul,2,10,1.0,-0.11951501447619016,100,68
431,mul,2,20,1.0,-0.11875951532268049,100,82
432,mul,2,30,1.0,-0.1181441331470613,100,88
433,mul,2,40,1.0,-0.11824484204290343,100,91
434,mul,2,50,1.0,-0.11840895535187272,100,95
435,mul,2,60,1.0,-0.11881485944529994,100,95
436,mul,2,70,1.0,-0.11911735575110866,100,100
437,mul,2,80,1.0,-0.11842413213855844,100,100
438,mul,2,90,1.0,-0.11855171661808311,100,99
439,mul,2,100,1.0,-0.11857990440311823,100,100
440,mul,3,1,0.001,-0.12245175537241505,1000,154
441,mul,3,10,0.001,-0.11902099138526294,1000,336
442,mul,3,20,0.001,-0.12116420211223378,1000,440
443,mul,3,30,0.001,-0.12186515074435532,1000,501
444,mul,3,40,0.001,-0.12532930319553046,1000,555
445,mul,3,50,0.001,-0.1240527454922765,1000,584
446,mul,3,60,0.001,-0.12522544064766358,1000,616
447,mul,3,70,0.001,-0.12959210574897695,1000,649
448,mul,3,80,0.001,-0.13101599866910926,1000,681
449,mul,3,90,0.001,-0.1316700579535936,1000,713
