,sim,alpha,corpusSize,trueK,bestK,best_ll,correct,entropy,nStates,way,bestLag
286,1,1.0,100,3,2,-0.2759258250999722,0,0.7756396035521957,5,semicol,
287,1,1.0,100,3,1,-0.23521369240765633,0,0.7769083758814299,5,lagged,20.0
288,2,0.1,10,0,2,-0.0016271714884304104,0,0.030969197927175885,2,semicol,
289,2,0.1,10,0,3,-0.341830114221506,0,0.5323382786677237,2,lagged,50.0
290,2,0.1,50,0,3,-0.6709130293078299,0,0.9714519837950714,2,semicol,
291,2,0.1,50,0,2,-0.15482785325927062,0,0.2408911017644246,2,lagged,20.0
292,2,0.1,100,0,4,-0.0013240959629352797,0,0.03420556302170346,2,semicol,
293,2,0.1,100,0,0,-6.249994140244896e-07,1,2.0515262079125154e-06,2,lagged,0.0
294,2,0.5,10,0,4,-0.5552959219211082,0,0.8609244514246749,2,semicol,
295,2,0.5,10,0,3,-0.4584062756342115,0,0.6898796071241027,2,lagged,50.0
296,2,0.5,50,0,0,-0.6914554119255806,1,0.9946404264731681,2,semicol,
297,2,0.5,50,0,1,-0.0006965574910261815,0,0.005043597179908863,2,lagged,20.0
298,2,0.5,100,0,1,-0.6728478813229567,0,0.9756006501312711,2,semicol,
299,2,0.5,100,0,3,-0.3699305843151165,0,0.5570543249096019,2,lagged,50.0
300,2,1.0,10,0,4,-0.6347851650207078,0,0.9397296459509304,2,semicol,
301,2,1.0,10,0,1,-0.6863303172412375,0,0.9995620242468203,2,lagged,30.0
302,2,1.0,50,0,0,-0.6873164296987547,1,0.9923875853787114,2,semicol,
303,2,1.0,50,0,0,-0.44593528346353367,1,0.6554444305993147,2,lagged,0.0
304,2,1.0,100,0,0,-0.5241863172536391,1,0.7439867572623857,2,semicol,
305,2,1.0,100,0,3,-0.46314399409611684,0,0.6646866871246474,2,lagged,50.0
306,2,0.1,10,0,2,-0.2948049360698867,0,0.3105425517761512,3,semicol,
307,2,0.1,10,0,2,-0.6675872207728999,0,0.6903769072294879,3,lagged,50.0
308,2,0.1,50,0,0,-0.3832086604243286,1,0.3820557283374453,3,semicol,
309,2,0.1,50,0,2,-0.019107251201233987,0,0.0189378676204095,3,lagged,20.0
310,2,0.1,100,0,3,-0.579430912195102,0,0.5278852362043597,3,semicol,
311,2,0.1,100,0,3,-0.2832902917537624,0,0.2776778540352766,3,lagged,50.0
312,2,0.5,10,0,0,-0.5413085453807043,1,0.49254053915375173,3,semicol,
313,2,0.5,10,0,2,-0.25242558278848376,0,0.2785973865982338,3,lagged,50.0
314,2,0.5,50,0,0,-0.570081901541684,1,0.5494379091304099,3,semicol,
315,2,0.5,50,0,1,-0.9783988881007973,0,0.886404136863308,3,lagged,30.0
316,2,0.5,100,0,1,-0.6332846851480817,0,0.5871025050193345,3,semicol,
317,2,0.5,100,0,3,-0.8778086861703277,0,0.8276690368496997,3,lagged,50.0
318,2,1.0,10,0,0,-1.002769251431981,1,0.904326743078584,3,semicol,
319,2,1.0,10,0,0,-0.813528861238492,1,0.7194592875502904,3,lagged,0.0
